City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (deg C)
310,lanzhou,36.0564,103.7922,287.08,64,100,0.69,CN,1728598661,13.829999999999984
311,albenga,44.0529,8.216,292.22,83,4,2.24,IT,1728598662,18.970000000000027
312,peymeinade,43.6333,6.8833,290.29,57,0,1.41,FR,1728598663,17.04000000000002
313,baoding,38.8511,115.4903,284.24,45,0,3.12,CN,1728598664,10.990000000000009
314,bechar,31.6167,-2.2167,297.33,31,0,0.51,DZ,1728598665,24.079999999999984
315,vila franca do campo,37.7167,-25.4333,293.38,99,82,6.91,PT,1728598666,20.129999999999995
316,shingu,33.7333,135.9833,289.97,83,80,2.26,JP,1728598669,16.720000000000027
317,mount pearl,47.5166,-52.7813,284.34,96,75,4.12,CA,1728598387,11.089999999999975
318,bridgeport,41.167,-73.2048,288.36,53,0,4.63,US,1728598400,15.110000000000014
319,north bend,43.4065,-124.2243,298.28,59,0,7.72,US,1728598522,25.029999999999973
320,lushun,38.8,121.2667,283.27,54,0,3.28,CN,1728598674,10.019999999999982
321,al bayda',32.7627,21.7551,297.03,38,23,2.46,LY,1728598675,23.779999999999973
322,vail,32.0479,-110.712,310.11,8,20,2.24,US,1728598678,36.860000000000014
323,chibougamau,49.9168,-74.3659,279.94,87,100,4.12,CA,1728598638,6.689999999999998
324,ploermel,47.9317,-2.3978,283.6,88,72,2.54,FR,1728598680,10.350000000000023
325,borodulikha,50.7184,80.9295,286.27,41,3,5.66,KZ,1728598681,13.019999999999982
326,beyneu,45.3167,55.2,287.39,74,100,7.23,KZ,1728598682,14.139999999999986
327,saguenay,48.4168,-71.0657,283.2,75,75,6.17,CA,1728598665,9.949999999999989
328,schleiz,50.5833,11.8167,282.94,90,100,1.58,DE,1728598481,9.689999999999998
329,prince rupert,54.3161,-130.3201,284.2,78,20,10.8,CA,1728598687,10.949999999999989
330,gannan,47.9147,123.5031,277.26,40,99,1.09,CN,1728598688,4.009999999999991
331,vilyuchinsk,52.9306,158.4028,274.3,53,0,1.35,RU,1728598689,1.0500000000000114
332,priargunsk,50.3691,119.1012,274.06,82,63,3.89,RU,1728598690,0.8100000000000023
333,weyburn,49.6668,-103.8511,290.27,51,100,9.26,CA,1728598556,17.019999999999982
334,sayansk,54.1088,102.1648,271.01,83,100,0.73,RU,1728598692,-2.240000000000009
335,selfoss,63.9331,-20.9971,274.29,70,1,4.73,IS,1728598693,1.0400000000000205
336,mont-laurier,46.5501,-75.4993,281.84,70,99,3.73,CA,1728598694,8.589999999999975
337,grande prairie,55.1667,-118.8027,285.25,35,75,8.23,CA,1728598696,12.0
